LB,Treatment,SizeClass,Indivudal,Length,Height
11,High,Small,8,110.931,80.815
11,High,Small,9,115.376,84.578
11,High,Small,10,108.912,74.264
11,High,Small,11,116.546,83.209
11,High,Small,12,105.766,79.371
11,High,Small,13,106.283,77.545
11,High,Small,14,114.157,80.779
11,High,Small,15,108.347,77.751
11,High,Small,16,112.656,79.628
11,High,Small,17,109.409,79.685
11,High,Small,18,109.615,81.558
11,High,Small,19,107.741,79.855
11,High,Small,20,116.872,83.321
11,High,Small,21,103.13,78.807
11,High,Small,22,113.136,84.359
11,High,Small,23,109.168,83.942
11,High,Small,24,119.082,82.491
11,High,Small,25,112.587,81.523
11,High,Small,26,112.285,81.949
11,High,Small,27,104.9,80.242
11,High,Small,28,116.94,83.934
11,High,Small,29,107.116,77.272
11,High,Small,30,115.114,82.402
11,High,Small,31,111.324,83.215
11,High,Small,32,112.671,76.779
11,High,Small,33,113.568,83.215
11,High,Small,34,111.29,82.58
11,High,Small,35,111.617,80.446
11,High,Small,36,107.807,78.175
11,High,Small,37,112.014,80.241
11,High,Small,38,115.082,83.545
11,High,Small,39,105.65,78.697
11,High,Small,40,113.957,86.586
11,High,Small,41,119.467,87.318
11,High,Small,42,108.281,76.913
11,High,Small,43,112.643,81.33
11,High,Small,1,106.731,78.818
11,High,Small,2,108.484,74.868
11,High,Small,3,115.788,85.539
11,High,Small,4,103.799,71.624
11,High,Small,5,97.583,74.536
11,High,Small,6,99.814,65.584
11,High,Small,7,105.135,75.776
11,High,Small,8,86.967,65.869
11,High,Small,9,103.68,76.191
11,High,Small,10,102.412,75.838
11,High,Small,11,108.41,74.159
11,High,Small,12,103.594,70.627
11,High,Small,13,116.916,84.804
11,High,Small,14,105.722,72.251
11,High,Small,1,90.755,66.393
11,High,Small,2,111.811,79.063
11,High,Small,3,111.796,82.327
11,High,Small,4,114.749,85.349
11,High,Small,5,91.42,70.249
