LB,Treatment,Day,Individual,Length,Height
4,High,3,11,111.937,75.696
4,High,3,12,109.193,73.903
4,High,3,13,104.986,72.499
4,High,3,14,107.739,71.05
4,High,3,15,116.24,81.171
4,High,3,16,108.824,73.83
4,High,3,17,114.037,80.072
4,High,3,18,108.439,81.24
4,High,3,19,112.191,79.588
4,High,3,20,113.334,73.672
4,High,3,21,107.274,76.731
4,High,3,22,103.968,73.564
4,High,3,23,108.785,75.245
4,High,3,24,103.786,75.441
4,High,3,25,103.707,77.739
4,High,3,26,112.786,79.537
4,High,3,27,104.704,76.318
4,High,3,28,112.779,74.721
5,High,3,1,111.513,76.761
5,High,3,2,108.229,77.983
5,High,3,3,107.553,76.469
5,High,3,4,110.701,74.838
5,High,3,5,107.989,77.721
5,High,3,6,107.767,77.926
5,High,3,7,110.442,72.319
5,High,3,8,104.938,76.317
5,High,3,9,112.599,76.902
5,High,3,10,98.879,68.01
5,High,3,11,112.444,75.998
5,High,3,12,105.828,75.818
5,High,3,13,109.801,76.964
5,High,3,14,108.718,77.929
5,High,3,15,109.669,76.025
5,High,3,16,111.348,77.338
5,High,3,17,107.11,79.18
5,High,3,18,106.157,75.001
5,High,3,19,108.709,75.446
5,High,3,20,108.208,77.235
5,High,3,21,108.692,78.307
5,High,3,22,109.325,80.032
5,High,3,23,108.819,79.77
5,High,3,24,111.667,76.555
5,High,3,25,106.444,75.106
5,High,3,26,109.409,76.146
5,High,3,27,105.116,74.598
5,High,3,28,106.995,76.542
5,High,3,29,109.845,77.664
5,High,3,30,116.691,74.558
5,High,3,31,106.231,77.546
5,High,3,32,111.264,76.547
5,High,3,33,100.54,71.733
5,High,3,34,106.576,76.634
5,High,3,35,107.306,75.316
5,High,3,36,107.219,75.903
6,High,3,1,109.065,76.542
6,High,3,2,109.612,77.106
6,High,3,3,112.961,76.089
6,High,3,4,111.854,74.886
6,High,3,5,109.957,76.877
6,High,3,6,109.951,80.379
6,High,3,7,110.656,73.779
6,High,3,8,112.203,77.904
6,High,3,9,104.517,76.087
6,High,3,10,108.066,74.531
6,High,3,11,113.925,77.901
6,High,3,12,116.845,78.944
6,High,3,13,110.686,76.453
6,High,3,14,106.788,73.837
6,High,3,15,115.841,82.14
6,High,3,16,114.135,72.527
6,High,3,17,110.226,77.729
6,High,3,18,111.112,78.529
6,High,3,19,109.471,75.979
6,High,3,20,108.474,73.942
6,High,3,21,112.45,77.85
6,High,3,22,113.014,79.662
6,High,3,23,92.865,68.439
6,High,3,24,113.815,81.155
6,High,3,25,113.585,74.781
6,High,3,26,105.147,76.949
6,High,3,27,105.384,73.421
6,High,3,28,108.669,78.338
6,High,3,29,109.321,74.968
6,High,3,30,106.39,72.112
6,High,3,31,104.173,76.471
6,High,3,32,107.493,71.759
6,High,3,33,106.534,74.611
6,High,3,34,110.188,79.031
6,High,3,35,112.913,76.329
8,Low,3,1,93.742,72.961
8,Low,3,2,91.768,65.752
8,Low,3,3,95.963,71.46
8,Low,3,4,105.215,74.965
8,Low,3,5,94.223,70.503
8,Low,3,6,98.663,71.311
8,Low,3,7,97.098,68.108
8,Low,3,8,98.606,75.013
8,Low,3,9,103.356,75.891
8,Low,3,10,94.143,69.901
8,Low,3,11,99.969,69.023
8,Low,3,12,109.454,77.311
8,Low,3,13,99.632,74.431
8,Low,3,14,103.164,75.857
8,Low,3,15,103.679,74.012
8,Low,3,16,92.215,68.988
8,Low,3,17,92.427,67.075
8,Low,3,18,100.034,73.923
8,Low,3,19,103.628,75.697
8,Low,3,20,105.556,75.532
8,Low,3,21,101.483,74.217
8,Low,3,22,101.323,75.755
8,Low,3,23,105.5,74.62
8,Low,3,24,102.044,74.417
8,Low,3,25,104.597,76.153
8,Low,3,26,99.877,73.301
8,Low,3,27,91.253,67.037
8,Low,3,28,101.367,74.053
8,Low,3,29,105.064,77.213
8,Low,3,30,103.797,72.733
9,Low,3,1,88.804,64.666
9,Low,3,2,97.625,70.981
9,Low,3,3,98.698,68.395
9,Low,3,4,95.532,65.982
9,Low,3,5,99.921,72.081
9,Low,3,6,100.058,69.762
9,Low,3,7,105.405,74.717
9,Low,3,8,92.926,66.595
9,Low,3,9,93.732,68.63
9,Low,3,10,97.999,75.601
9,Low,3,11,99.118,65.031
9,Low,3,12,96.297,70.226
9,Low,3,13,97.697,73.331
9,Low,3,14,96.213,69.996
9,Low,3,15,96.896,68.758
9,Low,3,16,98.006,73.484
9,Low,3,17,105.52,75.525
9,Low,3,18,104.164,73.15
9,Low,3,19,102.704,70.615
9,Low,3,20,94.752,66.106
9,Low,3,21,87.77,66.603
9,Low,3,22,96.381,67.114
9,Low,3,23,95.061,71.95
9,Low,3,24,96.974,71.913
9,Low,3,25,100.331,72.621
9,Low,3,26,89.927,67.007
9,Low,3,27,93.081,67.506
9,Low,3,28,93.712,67.762
9,Low,3,29,100.178,73.386
9,Low,3,30,101.568,73.715
9,Low,3,31,100.743,69.408
9,Low,3,32,95.676,69.943
9,Low,3,33,101.043,73.385
9,Low,3,34,87.235,62.68
9,Low,3,35,97.291,69.687
9,Low,3,36,92.458,70.766
9,Low,3,37,93.361,64.964
9,Low,3,38,95.632,66.888
9,Low,3,39,94.297,73.165
9,Low,3,40,88.315,69.287
10,High,3,1,106.77,80.206
10,High,3,2,108.321,76.321
10,High,3,3,110.435,78.721
10,High,3,4,114.168,76.926
10,High,3,5,110.775,79.145
10,High,3,6,107.895,77.235
10,High,3,7,109.493,83.29
10,High,3,8,108.018,75.265
10,High,3,9,111.811,79.973
10,High,3,10,115.804,78.799
10,High,3,11,106.487,75.205
10,High,3,12,110.791,75.171
10,High,3,13,110.285,80.369
10,High,3,14,106.753,76.816
10,High,3,15,108.744,76.615
10,High,3,16,109.309,76.944
10,High,3,17,108.689,76.852
10,High,3,18,107.598,74.807
10,High,3,19,104.44,76.895
10,High,3,20,110.96,79.062
10,High,3,21,107.682,77.818
10,High,3,22,112.025,78.644
10,High,3,23,111.07,78.07
10,High,3,24,106.376,76.972
10,High,3,25,109.943,77.873
10,High,3,26,110.941,82.25
10,High,3,27,108.559,78.662
10,High,3,28,111.994,83.012
10,High,3,29,110.018,79.07
10,High,3,30,96.264,71.054
10,High,3,31,106.4,76.525
11,High,3,1,107.293,78.007
11,High,3,2,105.67,83.37
11,High,3,3,101.836,76.913
11,High,3,4,104.878,76.118
11,High,3,5,109.704,78.749
11,High,3,6,111.615,78.47
11,High,3,7,111.292,81.508
11,High,3,8,111.922,80.322
11,High,3,9,109.312,74.447
11,High,3,10,104.715,78.539
11,High,3,11,110.497,80.469
11,High,3,12,110.126,76.913
11,High,3,13,107.401,75.291
11,High,3,14,105.875,73.15
11,High,3,15,108.182,78.807
11,High,3,16,100.661,76.539
11,High,3,17,111.047,75.824
11,High,3,18,106.657,74.203
11,High,3,19,113.19,83.454
11,High,3,20,108.024,75.555
11,High,3,21,98.823,71.41
11,High,3,22,103.635,71.826
11,High,3,23,102.251,73.913
11,High,3,24,103.391,73.813
12,High,3,1,110.173,78.048
12,High,3,2,111.099,78.414
12,High,3,3,104.715,73.845
12,High,3,4,110.007,79.136
12,High,3,5,106.71,74.323
12,High,3,6,105.529,74.125
12,High,3,7,111.174,80.052
12,High,3,8,110.87,79.15
12,High,3,9,107.007,78.973
12,High,3,10,109.159,74.589
12,High,3,11,96.579,70.021
12,High,3,12,96.786,73.831
12,High,3,13,106.046,73.729
12,High,3,14,106.619,73.428
12,High,3,15,108.562,74.782
12,High,3,16,106.978,74.343
12,High,3,17,102.645,74.03
12,High,3,18,108.37,75.731
12,High,3,19,114,80.176
12,High,3,20,106.406,75.585
12,High,3,21,106.527,74.436
12,High,3,22,106.503,76.199
12,High,3,23,104.349,76.031
12,High,3,24,107.256,76.138
12,High,3,25,105.27,74.437
12,High,3,26,105.028,73.047
12,High,3,27,112.702,79.065
12,High,3,28,113.335,78
12,High,3,29,108.428,73.683
12,High,3,30,100.656,72.811
12,High,3,31,107.082,74.36
12,High,3,32,107.883,77.74
1,Low,6,1,109.319,81.254
1,Low,6,2,102.912,77.928
1,Low,6,3,107,77.602
1,Low,6,4,97.874,72.043
1,Low,6,5,105.945,79.526
1,Low,6,6,102.025,78.538
1,Low,6,7,108.834,80.014
1,Low,6,8,107.824,75.886
1,Low,6,9,109.694,79.459
1,Low,6,10,98.336,76.185
1,Low,6,11,96.702,69.958
1,Low,6,12,106.242,78.675
1,Low,6,13,109.806,78.609
1,Low,6,14,106.938,77.085
1,Low,6,15,105.776,77.834
1,Low,6,16,107.705,77.195
1,Low,6,17,104.588,76.014
1,Low,6,18,95.165,73.722
1,Low,6,19,109.854,78.288
1,Low,6,20,104.588,76.902
1,Low,6,21,112.555,83.569
1,Low,6,22,109.487,79.851
1,Low,6,23,108.443,81.31
1,Low,6,24,105.146,80.91
1,Low,6,25,90.394,66.884
1,Low,6,26,107.383,76.724
1,Low,6,27,105.101,74.805
1,Low,6,28,97.301,77.728
1,Low,6,29,102.246,77.878
1,Low,6,30,104.197,73.283
1,Low,6,31,109.325,77.998
1,Low,6,32,110.761,76.877
1,Low,6,33,102.919,72.067
1,Low,6,34,106.583,81.211
1,Low,6,35,114.653,84.067
1,Low,6,36,104.616,79.371
1,Low,6,37,108.793,80.286
1,Low,6,38,114.157,78.818
1,Low,6,39,113.424,77.784
1,Low,6,40,100.616,71.648
1,Low,6,41,87.435,69.879
1,Low,6,42,95.926,66.513
1,Low,6,43,104.392,75.958
1,Low,6,44,99.233,77.955
1,Low,6,45,111.034,81.858
1,Low,6,46,103.593,75.939
1,Low,6,47,110.629,82.388
1,Low,6,48,102.807,70.807
1,Low,6,49,93.085,76.671
1,Low,6,50,111.563,82.444
1,Low,6,51,106.137,78.177
1,Low,6,52,91.001,70.198
1,Low,6,53,101.526,75.285
1,Low,6,54,110.466,78.769
1,Low,6,55,101.354,75.698
1,Low,6,56,105.824,79.698
1,Low,6,57,104.132,75.192
1,Low,6,58,109.207,77.189
1,Low,6,59,112.841,82.474
1,Low,6,60,106.489,81.134
1,Low,6,61,110.314,77.187
1,Low,6,62,103.275,73.119
1,Low,6,63,103.321,76.191
1,Low,6,64,96.076,71.287
1,Low,6,65,108.15,77.452
1,Low,6,66,103.567,77.765
1,Low,6,67,118.402,84.467
1,Low,6,68,107.617,76.525
1,Low,6,69,103.942,76.527
1,Low,6,70,98.928,71.431
1,Low,6,71,106.385,74.473
1,Low,6,72,104.865,79.73
1,Low,6,73,101.963,77.599
1,Low,6,74,108.669,78.207
1,Low,6,75,106.183,77.382
1,Low,6,76,100.077,76.769
1,Low,6,77,99.106,74.638
1,Low,6,78,100.442,72.041
1,Low,6,79,101.551,74.369
1,Low,6,80,108.817,77.907
1,Low,6,81,108.356,80.557
1,Low,6,82,100.602,72.12
1,Low,6,83,112.383,79.189
1,Low,6,84,102.402,72.715
1,Low,6,85,109.056,79.11
1,Low,6,86,103.442,76.799
1,Low,6,87,103.717,80.223
1,Low,6,88,104.399,75.474
1,Low,6,89,112.521,80.342
1,Low,6,90,107.607,77.176
1,Low,6,91,108.847,78.566
1,Low,6,92,100.534,77.221
1,Low,6,93,107.858,77.728
1,Low,6,94,105.894,78.448
1,Low,6,95,111.991,82.515
1,Low,6,96,113.152,80.049
1,Low,6,97,113.239,79.089
1,Low,6,98,107.704,80.348
1,Low,6,99,111.275,82.898
1,Low,6,100,103.497,77.365
4,High,6,1,111.496,80.037
4,High,6,2,121.168,88.42
4,High,6,3,107.506,75.394
4,High,6,4,120.784,87.321
4,High,6,5,109.829,80.41
4,High,6,6,113.017,77.765
4,High,6,7,115.284,80.242
4,High,6,8,107.251,78.972
4,High,6,9,109.079,76.747
4,High,6,10,113.829,78.737
4,High,6,11,113.535,78.737
4,High,6,12,115.811,83.637
4,High,6,13,112.295,83.05
4,High,6,14,116.087,80.329
4,High,6,15,114.663,81.613
4,High,6,16,111.563,81.485
4,High,6,17,114.672,85.071
4,High,6,18,117.835,86.222
4,High,6,19,109.603,81.31
4,High,6,20,114.584,83.914
4,High,6,21,106.828,78.595
4,High,6,22,120.46,85.536
4,High,6,23,110.433,78.759
4,High,6,24,117.987,84.252
4,High,6,25,109.201,78.438
4,High,6,26,115.146,81.86
4,High,6,27,114.759,83.866
4,High,6,28,113.254,81.766
4,High,6,29,113.855,79.58
4,High,6,30,121.338,84.429
4,High,6,31,110.228,84.118
4,High,6,32,120.758,84.414
4,High,6,33,110.943,78.903
4,High,6,34,112.103,79.128
4,High,6,35,116.499,82.546
4,High,6,36,109.709,83.271
4,High,6,37,102.774,78.819
4,High,6,38,113.767,83.117
4,High,6,39,109.575,84.771
4,High,6,40,109.328,80.051
4,High,6,41,112.965,85.758
4,High,6,42,116.267,84.082
4,High,6,43,111.382,82.332
4,High,6,44,112.516,82.089
4,High,6,45,114.24,81.598
4,High,6,46,112.172,82.654
4,High,6,47,109.818,79.887
4,High,6,48,114.01,84.081
4,High,6,49,112.239,81.143
4,High,6,50,114.211,83.345
4,High,6,51,112.554,79.455
4,High,6,52,111.742,81.42
4,High,6,53,122.245,87.753
4,High,6,54,102.642,76.037
4,High,6,55,115.993,82.26
4,High,6,56,123.083,87.461
4,High,6,57,116.881,85.152
4,High,6,58,111.981,82.094
4,High,6,59,115.862,80.503
4,High,6,60,106.731,76.988
4,High,6,61,115.214,83.264
4,High,6,62,112.075,79.816
4,High,6,63,109.537,79.447
4,High,6,64,110.188,81.729
4,High,6,65,123.375,89.037
4,High,6,66,114.468,81.967
4,High,6,67,112.349,85.656
4,High,6,68,110.949,80.823
4,High,6,69,115.15,82.974
4,High,6,70,116.868,84.51
4,High,6,71,113.811,84.821
4,High,6,72,114.317,85.383
4,High,6,73,111.496,80.792
4,High,6,74,114.514,80.253
4,High,6,75,116.656,87.091
4,High,6,76,114.81,82.489
4,High,6,77,115.855,83.122
4,High,6,78,118.62,84.594
4,High,6,79,112.309,80.51
4,High,6,80,114.251,82.202
4,High,6,81,113.445,81.469
4,High,6,82,114.726,82.32
4,High,6,83,109.049,77.409
4,High,6,84,116.004,83.565
4,High,6,85,111.067,81.364
4,High,6,86,106.298,77.988
4,High,6,87,118.722,81.275
4,High,6,88,118.713,85.028
4,High,6,89,111.082,75.736
4,High,6,90,117.438,85.826
4,High,6,91,109.558,77.031
4,High,6,92,115.739,81.636
4,High,6,93,108.484,77.617
4,High,6,94,116.21,83.384
4,High,6,95,109.957,80.945
4,High,6,96,115.987,86.578
4,High,6,97,102.43,74.089
4,High,6,98,109.665,80.186
4,High,6,99,109.831,80.099
4,High,6,100,114.73,82.896
6,High,6,1,118.915,83.304
6,High,6,2,115.15,84.952
6,High,6,3,114.228,82.189
6,High,6,4,108.778,83.155
6,High,6,5,108.475,81.214
6,High,6,6,109.451,79.053
6,High,6,7,113.777,82.125
6,High,6,8,109.799,78.49
6,High,6,9,113.517,83.058
6,High,6,10,118.63,84.206
6,High,6,11,117.302,83.29
6,High,6,12,116.852,84.515
6,High,6,13,117.972,82.813
6,High,6,14,115.423,82.641
6,High,6,15,114.978,78.68
6,High,6,16,114.778,81.904
6,High,6,17,113.392,83.983
6,High,6,18,114.221,85.071
6,High,6,19,115.096,84.298
6,High,6,20,109.185,80.931
6,High,6,21,115.2,80.973
6,High,6,22,113.633,82.565
6,High,6,23,116.336,87.747
6,High,6,24,114.032,83.46
6,High,6,25,121.642,84.117
6,High,6,26,105.806,77.674
6,High,6,27,106.205,80.763
6,High,6,28,112.877,82.142
6,High,6,29,115.235,84.369
6,High,6,30,112.901,79.621
6,High,6,31,106.66,80.811
6,High,6,32,104.74,78.39
6,High,6,33,112.615,84.078
6,High,6,34,113.861,83.88
6,High,6,35,112.942,81.853
6,High,6,36,111.725,76.859
6,High,6,37,97.083,81.028
6,High,6,38,106.152,81.312
6,High,6,39,113.774,83.883
6,High,6,40,110.649,79.707
6,High,6,41,115.544,77.692
6,High,6,42,112.989,81.85
6,High,6,43,113.697,83.324
6,High,6,44,116.202,84.569
6,High,6,45,111.395,80.916
6,High,6,46,111.099,83.803
6,High,6,47,111.034,76.215
6,High,6,48,115.732,84.07
6,High,6,49,110.699,77.925
6,High,6,50,106.163,79.838
6,High,6,51,114.019,84.736
6,High,6,52,108.952,78.434
6,High,6,53,107.34,77.718
6,High,6,54,112.196,80.462
6,High,6,55,114.277,80.599
6,High,6,56,109.575,81.345
6,High,6,57,110.099,80.166
6,High,6,58,108.788,80.632
6,High,6,59,116.362,81.831
6,High,6,60,109.294,80.881
6,High,6,61,110.822,81.28
6,High,6,62,107.651,75.451
6,High,6,63,108.339,78.791
6,High,6,64,116.787,83.707
6,High,6,65,116.35,84.175
6,High,6,66,108.258,76.75
6,High,6,67,111.616,81.924
6,High,6,68,107.645,76.153
6,High,6,69,107.976,79.683
6,High,6,70,112.917,82.227
6,High,6,71,108.519,80.585
6,High,6,72,109.74,80.519
6,High,6,73,115.401,84.215
6,High,6,74,110.419,80.181
6,High,6,75,116.04,87.048
6,High,6,76,117.799,85.006
6,High,6,77,117.045,82.898
6,High,6,78,112.424,80.326
6,High,6,79,109.988,82.334
6,High,6,80,116.936,86.497
6,High,6,81,107.369,78.921
6,High,6,82,114.03,82.158
6,High,6,83,117.079,83.662
6,High,6,84,118.108,85.919
6,High,6,85,117.724,84.052
6,High,6,86,111.572,78.309
6,High,6,87,115.863,81.11
6,High,6,88,114.541,83.807
6,High,6,89,98.749,70.737
6,High,6,90,105.717,85.11
6,High,6,91,113.239,82.97
6,High,6,92,103.361,83.55
6,High,6,93,120.852,84.708
6,High,6,94,113.578,80.863
6,High,6,95,115.594,81.29
6,High,6,96,118.797,86.871
6,High,6,97,114.531,82.807
6,High,6,98,115.847,86.736
6,High,6,99,110.881,81.957
6,High,6,100,115.005,85.877
7,Low,6,1,113.417,80.826
7,Low,6,2,109.411,79.479
7,Low,6,3,110.559,79.319
7,Low,6,4,106.167,75.194
7,Low,6,5,112.118,82.909
7,Low,6,6,103.676,75.934
7,Low,6,7,105.925,75.029
7,Low,6,8,108.977,81.955
7,Low,6,9,102.722,76.143
7,Low,6,10,109.035,82.324
7,Low,6,11,108.391,81.261
7,Low,6,12,104.45,77.155
7,Low,6,13,109.119,81.077
7,Low,6,14,102.936,80.071
7,Low,6,15,103.17,74.782
7,Low,6,16,103.45,77.56
7,Low,6,17,107.054,77.546
7,Low,6,18,108.076,80.953
7,Low,6,19,107.751,82.415
7,Low,6,20,105.241,80.736
7,Low,6,21,108.427,81.517
7,Low,6,22,111.421,81.509
7,Low,6,23,107.091,82.06
7,Low,6,24,103.274,79.053
7,Low,6,25,108.322,77.471
7,Low,6,26,112.939,81.989
7,Low,6,27,101.186,77.379
7,Low,6,28,105.428,79.24
7,Low,6,29,97.03,74.104
7,Low,6,30,109.842,82.135
7,Low,6,31,111.273,83.345
7,Low,6,32,108.757,80.171
7,Low,6,33,110.143,82.06
7,Low,6,34,104.036,80.808
7,Low,6,35,104.609,78.514
7,Low,6,36,117.261,83.432
7,Low,6,37,103.134,77.51
7,Low,6,38,110.147,80.427
7,Low,6,39,104.496,78.716
7,Low,6,40,109.937,82.301
7,Low,6,41,107.391,82.656
7,Low,6,42,106.601,77.535
7,Low,6,43,110.998,78.343
7,Low,6,44,94.464,66.899
7,Low,6,45,102.879,80.223
7,Low,6,46,106.582,75.487
7,Low,6,47,106.329,78.868
7,Low,6,48,91.914,74.064
7,Low,6,49,101.745,75.225
7,Low,6,50,107.907,79.478
7,Low,6,51,101.871,73.825
7,Low,6,52,96.969,76.798
7,Low,6,53,107.675,78.054
7,Low,6,54,100.374,75.586
7,Low,6,55,94.41,73.707
7,Low,6,56,103.29,76.993
7,Low,6,57,108.185,81.031
7,Low,6,58,102.908,78.716
7,Low,6,59,92.988,73.081
7,Low,6,60,101.388,77.406
7,Low,6,61,102.634,79.366
7,Low,6,62,116.449,84.133
7,Low,6,63,107.691,77.765
7,Low,6,64,108.485,83.135
7,Low,6,65,100.391,73.203
7,Low,6,66,108.488,84.19
7,Low,6,67,101.108,75.493
7,Low,6,68,98.763,77.544
7,Low,6,69,104.415,78.247
7,Low,6,70,106.255,72.118
7,Low,6,71,101.571,76.767
7,Low,6,72,109.379,78.133
7,Low,6,73,105.568,78.837
7,Low,6,74,102.745,77.495
7,Low,6,75,106.614,81.114
7,Low,6,76,104.461,80.03
7,Low,6,77,109.191,78.525
7,Low,6,78,109.837,81.093
7,Low,6,79,102.718,79.431
7,Low,6,80,110.491,79.153
7,Low,6,81,100.309,81.645
7,Low,6,82,106.174,75.248
7,Low,6,83,107.95,82.485
7,Low,6,84,98.575,72.602
7,Low,6,85,104.507,76.428
7,Low,6,86,111.611,82.534
7,Low,6,87,101.871,73.709
7,Low,6,88,108.161,78.853
7,Low,6,89,103.537,77.521
7,Low,6,90,110.42,80.714
7,Low,6,91,107.441,82.375
7,Low,6,92,105.718,81.356
7,Low,6,93,106.803,79.835
7,Low,6,94,105.018,79.829
7,Low,6,95,108.065,79.915
7,Low,6,96,102.661,83.267
7,Low,6,97,110.93,81.068
7,Low,6,98,101.179,77.416
7,Low,6,99,105.615,74.668
7,Low,6,100,107.615,76.349
7,Low,6,101,115.341,79.668
7,Low,6,102,103.277,80.77
7,Low,6,103,102.276,77.74
7,Low,6,104,104.089,75.168
7,Low,6,105,107.407,80.871
7,Low,6,106,105.029,76.918
7,Low,6,107,107.88,82.178
7,Low,6,108,100.425,73.94
7,Low,6,109,107.958,78.66
7,Low,6,110,104.431,81.509
7,Low,6,111,108.641,82.977
7,Low,6,112,105.282,79.895
7,Low,6,113,105.658,76.007
7,Low,6,114,107.395,81.332
7,Low,6,115,99.441,75.098
7,Low,6,116,111.133,78.798
7,Low,6,117,102.812,75.419
7,Low,6,118,103.993,77.601
7,Low,6,119,103.938,75.921
7,Low,6,120,103.731,74.104
7,Low,6,121,112.115,80.311
7,Low,6,122,106.265,81.686
7,Low,6,123,110.468,79.805
7,Low,6,124,107.321,80.189
9,Low,6,1,105.518,81.641
9,Low,6,2,107.106,75.614
9,Low,6,3,101.388,74.018
9,Low,6,4,98.185,66.421
9,Low,6,5,111.01,82.763
9,Low,6,6,105.184,82.021
9,Low,6,7,111.457,85.529
9,Low,6,8,95.498,72.474
9,Low,6,9,107.969,80.588
9,Low,6,10,115.617,84.203
9,Low,6,11,112.495,85.547
9,Low,6,12,100.507,75.838
9,Low,6,13,98.852,78.111
9,Low,6,14,114.433,76.8
9,Low,6,15,93.966,66.057
9,Low,6,16,119.388,85.238
9,Low,6,17,104.162,72.892
9,Low,6,18,109.671,80.943
