LB,Treatment,Size_Class,Larvae,Length,Height,,,,
2,Low,M,62,109.707,80.358,,,,
2,Low,M,63,112.81,79.861,,,,
2,Low,M,64,108.63,82.748,,,,
2,Low,M,65,109.707,79.861,,,,
2,Low,M,66,105.705,82.717,,,,
2,Low,M,67,105.542,78.134,,,,
2,Low,M,68,114.006,83.992,,,,
2,Low,M,69,104.379,78.594,,,,
2,Low,M,70,109.731,83.503,,,,
2,Low,M,71,114.029,80.423,,,,
2,Low,M,72,112.226,79.809,,,,
2,Low,M,73,103.892,76.403,,,,
2,Low,M,74,107.904,80.917,,,,
2,Low,M,75,113.292,81.43,,,,
2,Low,M,76,111.007,77.787,,,,
2,Low,M,77,107.353,77.497,,,,
2,Low,M,78,113.752,80.782,,,,
2,Low,M,79,114.801,78.23,,,,
2,Low,M,80,111.941,82.421,,,,
2,Low,M,81,102.805,71.322,,,,
2,Low,M,82,112.73,78.384,,,,
2,Low,M,83,96.747,73.23,,,,
2,Low,M,84,104.022,74.547,,,,
2,Low,M,85,106.675,76.932,,,,
2,Low,M,86,100.48,71.716,,,,
2,Low,M,87,104.047,68.692,,,,
2,Low,M,88,97.924,72.108,,,,
2,Low,M,89,109.631,82.621,,,,
2,Low,M,90,111.591,82.585,,,,
2,Low,M,91,112.52,80.689,,,,
2,Low,M,92,108.127,77.38,,,,
2,Low,M,93,112.557,80.819,,,,
2,Low,M,94,104.953,77.458,,,,
2,Low,M,95,104.379,74.168,,,,
2,Low,M,96,105.681,79.066,,,,
2,Low,M,97,109.631,80.133,,,,
2,Low,M,98,115.687,82.06,,,,
2,Low,M,99,114.437,78.197,,,,
2,Low,M,100,101.699,76.698,,,,
2,Low,M,101,107.517,77.147,,,,
2,Low,M,102,111.494,79.731,,,,
2,Low,M,103,104.754,82.428,,,,
2,Low,M,104,111.637,78.733,,,,
2,Low,M,105,113.433,77.788,,,,
2,Low,M,106,108.995,79.338,,,,
2,Low,M,107,109.398,82.714,,,,
2,Low,M,108,113.658,85.363,,,,
2,Low,M,109,111.591,79.79,,,,
2,Low,M,110,113.206,79.142,,,,
2,Low,M,111,109.439,78.321,,,,
2,Low,L,1,108.975,73.271,112.4022234,3.846295347,82.04448936,4.815109715
2,Low,L,2,110.086,82.421,,,,
2,Low,L,3,115.885,80.917,,,,
2,Low,L,4,118.285,87.772,,,,
2,Low,L,5,114.19,83.057,,,,
2,Low,L,6,115.317,84.193,,,,
2,Low,L,7,106.125,77.879,,,,
2,Low,L,8,106.319,79.682,,,,
2,Low,L,9,115.003,82.962,,,,
2,Low,L,10,109.701,78.563,,,,
2,Low,L,11,110.719,82.467,,,,
2,Low,L,12,107.612,77.78,,,,
2,Low,L,13,111.064,82.876,,,,
2,Low,L,14,112.161,79.25,,,,
2,Low,L,15,121.197,85.359,,,,
2,Low,L,16,114.473,83.215,,,,
2,Low,L,17,111.338,89.602,,,,
2,Low,L,18,108.186,81.028,,,,
2,Low,L,19,101.777,79.823,,,,
2,Low,L,20,109.679,83.548,,,,
2,Low,L,21,115.421,84.024,,,,
2,Low,L,22,111.477,82.428,,,,
2,Low,L,23,115.184,83.573,,,,
2,Low,L,24,112.252,84.897,,,,
2,Low,L,25,108.415,80.177,,,,
2,Low,L,26,106.57,77.533,,,,
2,Low,L,27,107.19,77.294,,,,
2,Low,L,28,112.977,80.305,,,,
2,Low,L,29,116.401,84.845,,,,
2,Low,L,30,108.432,78.514,,,,
2,Low,L,31,103.06,84.882,,,,
2,Low,L,32,113.27,79.483,,,,
2,Low,L,33,114.674,82.118,,,,
2,Low,L,34,110.61,80.843,,,,
2,Low,L,35,111.362,82.498,,,,
2,Low,L,36,112.487,82.585,,,,
2,Low,L,37,113.089,81.398,,,,
2,Low,L,38,113.976,81.32,,,,
2,Low,L,39,114.768,84.385,,,,
2,Low,L,40,115.16,85.019,,,,
2,Low,L,41,113.206,82.966,,,,
2,Low,L,42,116.336,80.614,,,,
2,Low,L,43,111.615,78.824,,,,
2,Low,L,44,115.639,84.869,,,,
2,Low,L,45,113.365,81.153,,,,
2,Low,L,46,110.794,81.996,,,,
2,Low,L,47,115.287,82.348,,,,
2,Low,L,48,111.941,80.311,,,,
2,Low,L,49,114.111,83.503,,,,
2,Low,L,50,115.134,83.777,,,,
2,Low,L,51,117.152,86.669,,,,
2,Low,L,52,114.012,80.745,,,,
2,Low,L,53,113.381,77.473,,,,
2,Low,L,54,111.554,83.368,,,,
2,Low,L,55,114.817,83.683,,,,
2,Low,L,56,110.498,83.992,,,,
2,Low,L,57,113.484,82.092,,,,
2,Low,L,58,115.479,82.462,,,,
2,Low,L,59,113.504,80.521,,,,
2,Low,L,60,117.166,86.372,,,,
2,Low,L,61,113.568,86.254,,,,
2,Low,L,62,109.724,81.346,,,,
2,Low,L,63,115.891,85.601,,,,
2,Low,L,64,108.644,81.51,,,,
2,Low,L,65,100.726,79.056,,,,
2,Low,L,66,106.708,80.748,,,,
2,Low,L,67,105.239,80.376,,,,
2,Low,L,68,116.713,83.481,,,,
2,Low,L,69,117.1,80.463,,,,
2,Low,L,70,115.323,80.249,,,,
2,Low,L,71,115.455,85.302,,,,
2,Low,L,72,112.002,83.542,,,,
2,Low,L,73,117.166,81.62,,,,
2,Low,L,74,115.979,83.756,,,,
2,Low,L,75,108.749,78.563,,,,
2,Low,L,76,107.872,76.189,,,,
2,Low,L,77,110.275,78.4,,,,
2,Low,L,78,112.621,79.795,,,,
2,Low,L,79,114.323,86.372,,,,
2,Low,L,80,112.592,81.51,,,,
2,Low,L,81,109.019,81.838,,,,
2,Low,L,82,120.159,83.367,,,,
2,Low,L,83,113.568,86.069,,,,
2,Low,L,84,115.323,80.566,,,,
2,Low,L,85,113.287,82.506,,,,
2,Low,L,86,119.365,82.444,,,,
2,Low,L,87,108.89,79.915,,,,
2,Low,L,88,113.63,80.106,,,,
2,Low,L,89,107.665,81.315,,,,
2,Low,L,90,109.422,81.76,,,,
2,Low,L,91,111.791,82.25,,,,
2,Low,L,92,117.236,86.157,,,,
2,Low,L,93,111.208,84.393,,,,
2,Low,L,94,115.234,83.839,,,,
2,Low,XL,1,119.835,81.361,116.4606329,4.321958513,86.04974684,2.841580661
2,Low,XL,2,111.655,81.84,,,,
2,Low,XL,3,120.36,86.699,,,,
2,Low,XL,4,121.988,91.082,,,,
2,Low,XL,5,110.137,80.245,,,,
2,Low,XL,6,114.581,85.925,,,,
2,Low,XL,7,105.282,76.329,,,,
2,Low,XL,8,115.807,87.416,,,,
2,Low,XL,9,117.236,85.728,,,,
2,Low,XL,10,120.887,86.621,,,,
2,Low,XL,11,115.6,87.998,,,,
2,Low,XL,12,113.235,82.748,,,,
2,Low,XL,13,109.343,84.523,,,,
2,Low,XL,14,121.308,90.921,,,,
2,Low,XL,15,118.985,86.621,,,,
2,Low,XL,16,114.672,89.686,,,,
2,Low,XL,17,119.137,86.169,,,,
2,Low,XL,18,115.94,84.349,,,,
2,Low,XL,19,122.908,86.095,,,,
2,Low,XL,20,112.903,85.833,,,,
2,Low,XL,21,117.072,86.842,,,,
2,Low,XL,22,122.639,87.032,,,,
2,Low,XL,23,118.83,85.798,,,,
2,Low,XL,24,119.562,88.271,,,,
2,Low,XL,25,121.305,89.497,,,,
2,Low,XL,26,118.206,86.838,,,,
2,Low,XL,27,119.863,83.305,,,,
2,Low,XL,28,112.73,87.257,,,,
2,Low,XL,29,125.042,89.198,,,,
2,Low,XL,30,118.273,87.656,,,,
2,Low,XL,31,123.381,88.873,,,,
2,Low,XL,32,116.876,83.332,,,,
2,Low,XL,33,113.328,86.621,,,,
2,Low,XL,34,113.593,87.909,,,,
2,Low,XL,35,117.341,83.584,,,,
2,Low,XL,36,115.603,84.095,,,,
2,Low,XL,37,115.648,83.741,,,,
2,Low,XL,38,111.146,85.376,,,,
2,Low,XL,39,117.341,88.067,,,,
2,Low,XL,40,109.679,84.349,,,,
2,Low,XL,41,116.338,85.231,,,,
2,Low,XL,42,110.332,83.368,,,,
2,Low,XL,43,115.395,85.811,,,,
2,Low,XL,44,117.9,90.166,,,,
2,Low,XL,45,119.494,87.741,,,,
2,Low,XL,46,112.524,86.309,,,,
2,Low,XL,47,116.854,88.067,,,,
2,Low,XL,48,116.554,85.372,,,,
2,Low,XL,49,109.871,81.361,,,,
2,Low,XL,50,115.574,90.623,,,,
2,Low,XL,51,114.748,84.541,,,,
2,Low,XL,52,127.163,89.182,,,,
2,Low,XL,53,113.444,87.459,,,,
2,Low,XL,54,119.875,89.564,,,,
2,Low,XL,55,115.003,85.363,,,,
2,Low,XL,56,117.383,85.846,,,,
2,Low,XL,57,109.659,82.871,,,,
2,Low,XL,58,117.047,86.894,,,,
2,Low,XL,59,119.31,86.356,,,,
2,Low,XL,60,120.722,83.939,,,,
2,Low,XL,61,122.059,86.699,,,,
2,Low,XL,62,112.837,83.705,,,,
2,Low,XL,63,104.685,89.686,,,,
2,Low,XL,64,115.603,83.368,,,,
2,Low,XL,65,113.275,85.306,,,,
2,Low,XL,66,117.827,84.9,,,,
2,Low,XL,67,114.111,82.216,,,,
2,Low,XL,68,117.996,90.735,,,,
2,Low,XL,69,117.913,87.175,,,,
2,Low,XL,70,119.269,88.305,,,,
2,Low,XL,71,122.863,91.181,,,,
2,Low,XL,72,109.895,87.772,,,,
2,Low,XL,73,119.086,83.395,,,,
2,Low,XL,74,118.072,84.776,,,,
2,Low,XL,75,116.167,86.356,,,,
2,Low,XL,76,108.903,78.398,,,,
2,Low,XL,77,119.875,88.484,,,,
2,Low,XL,78,116.854,87.759,,,,
2,Low,XL,79,118.653,85.82,,,,
3,Low,S,1,102.509,76.639,105.0506618,4.126704079,75.32860294,2.996805559
3,Low,S,2,105.887,75.692,,,,
3,Low,S,3,108.975,76.369,,,,
3,Low,S,4,106.904,76.329,,,,
3,Low,S,5,108.716,72.988,,,,
3,Low,S,6,105.539,74.289,,,,
3,Low,S,7,101.755,78.494,,,,
3,Low,S,8,105.061,80.582,,,,
3,Low,S,9,107.573,74.592,,,,
3,Low,S,10,109.731,72.529,,,,
3,Low,S,11,109.13,80.048,,,,
3,Low,S,12,107.307,74.41,,,,
3,Low,S,13,109.374,72.155,,,,
3,Low,S,14,100.611,70.298,,,,
3,Low,S,15,111.884,79.261,,,,
3,Low,S,16,91.948,74.051,,,,
3,Low,S,17,103.359,73.373,,,,
3,Low,S,18,97.955,72.699,,,,
3,Low,S,19,96.389,71.254,,,,
3,Low,S,20,105.969,73.593,,,,
3,Low,S,21,105.318,78.321,,,,
3,Low,S,22,107.769,75.179,,,,
3,Low,S,23,114.437,78.952,,,,
3,Low,S,24,103.33,71.925,,,,
3,Low,S,25,99.82,75.657,,,,
3,Low,S,26,107.517,74.005,,,,
3,Low,S,27,103.155,75.418,,,,
3,Low,S,28,105.969,77.011,,,,
3,Low,S,29,112.133,80.201,,,,
3,Low,S,30,105.355,74.856,,,,
3,Low,S,31,99.023,68.632,,,,
3,Low,S,32,108.186,74.567,,,,
3,Low,S,33,105.457,72.699,,,,
3,Low,S,34,104.512,74.531,,,,
3,Low,S,35,105.969,79.066,,,,
3,Low,S,36,105.282,78.004,,,,
3,Low,S,37,110.008,80.311,,,,
3,Low,S,38,106.262,73.163,,,,
3,Low,S,39,104.487,75.349,,,,
3,Low,S,40,108.533,77.497,,,,
3,Low,S,41,104.537,79,,,,
3,Low,S,42,103.765,78.938,,,,
3,Low,S,43,109.645,78.618,,,,
3,Low,S,44,100.585,75.776,,,,
3,Low,S,45,103.95,79.066,,,,
3,Low,S,46,100.686,69.611,,,,
3,Low,S,47,106.658,79.266,,,,
3,Low,S,48,103.921,70.979,,,,
3,Low,S,49,100.641,71.48,,,,
3,Low,S,50,105.403,72.962,,,,
3,Low,S,51,108.127,76.678,,,,
3,Low,S,52,108.283,75.657,,,,
3,Low,S,53,100.405,72.113,,,,
3,Low,S,54,105.014,74.728,,,,
3,Low,S,55,101.285,69.971,,,,
3,Low,S,56,115.317,81.596,,,,
3,Low,S,57,100.798,74.092,,,,
3,Low,S,58,105.766,76.285,,,,
3,Low,S,59,101.655,74.552,,,,
3,Low,S,60,108.311,77.86,,,,
3,Low,S,61,105.915,73.004,,,,
3,Low,S,62,100.226,72.699,,,,
3,Low,S,63,106.379,77.38,,,,
3,Low,S,64,106.181,73.807,,,,
3,Low,S,65,97.339,71.48,,,,
3,Low,S,66,102.509,75.811,,,,
3,Low,S,67,105.614,77.308,,,,
3,Low,S,68,105.432,76.639,,,,
3,Low,M,1,106.929,80.409,109.8170674,3.618518047,78.73919101,3.129922178
3,Low,M,2,107.101,72.118,,,,
3,Low,M,3,110.1,79.752,,,,
3,Low,M,4,108.283,73.414,,,,
3,Low,M,5,109.936,76.698,,,,
3,Low,M,6,108.436,75.776,,,,
3,Low,M,7,108.269,77.734,,,,
3,Low,M,8,115.648,84.9,,,,
3,Low,M,9,106.432,75.498,,,,
3,Low,M,10,112.065,78.628,,,,
3,Low,M,11,109.542,86.356,,,,
3,Low,M,12,109.25,78.9,,,,
3,Low,M,13,110.953,74.567,,,,
3,Low,M,14,112.85,82.462,,,,
3,Low,M,15,110.743,79.469,,,,
3,Low,M,16,110.743,79.54,,,,
3,Low,M,17,109.953,79.266,,,,
3,Low,M,18,109.35,82.803,,,,
3,Low,M,19,108.82,76.029,,,,
3,Low,M,20,113.567,79.766,,,,
3,Low,M,21,105.014,76.147,,,,
3,Low,M,22,104.857,77.473,,,,
3,Low,M,23,109.164,74.778,,,,
3,Low,M,24,118.158,79.682,,,,
3,Low,M,25,103.472,75.969,,,,
3,Low,M,26,103.852,82.037,,,,
3,Low,M,27,105.114,77.283,,,,
3,Low,M,28,115.404,84.082,,,,
3,Low,M,29,111.904,82.353,,,,
3,Low,M,30,103.859,71.951,,,,
3,Low,M,31,112.038,80.745,,,,
3,Low,M,32,103.184,75.493,,,,
3,Low,M,33,104.885,74.552,,,,
3,Low,M,34,108.023,75.657,,,,
3,Low,M,35,108.851,76.221,,,,
3,Low,M,36,111.817,78.709,,,,
3,Low,M,37,112.677,78.494,,,,
3,Low,M,38,104.019,77.225,,,,
3,Low,M,39,106.181,77.864,,,,
3,Low,M,40,110.902,79.085,,,,
3,Low,M,41,112.887,80.954,,,,
3,Low,M,42,102.377,73.47,,,,
3,Low,M,43,107.279,79.682,,,,
3,Low,M,44,102.417,78.924,,,,
3,Low,M,45,114.686,77.322,,,,
3,Low,M,46,106.125,75.393,,,,
3,Low,M,47,112.58,81.941,,,,
3,Low,M,48,114.289,77.966,,,,
3,Low,M,49,115.062,82.184,,,,
3,Low,M,50,117.533,85.152,,,,
3,Low,M,51,112.94,81.467,,,,
3,Low,M,52,113.06,80.484,,,,
3,Low,M,53,113.636,77.531,,,,
3,Low,M,54,110.835,75.732,,,,
3,Low,M,55,112.038,74.899,,,,
3,Low,M,56,112.129,81.615,,,,
3,Low,M,57,109.016,84.224,,,,
3,Low,M,58,108.975,76.251,,,,
3,Low,M,59,111.227,84.086,,,,
3,Low,M,60,104.076,74.853,,,,
3,Low,M,61,110.577,78.249,,,,
3,Low,M,62,114.951,81.5,,,,
3,Low,M,63,109.895,80.87,,,,
3,Low,M,64,112.273,82.11,,,,
3,Low,M,65,104.383,74.793,,,,
3,Low,M,66,110.912,79.218,,,,
3,Low,M,67,107.988,80.912,,,,
3,Low,M,68,113.18,81.087,,,,
3,Low,M,69,110.995,78.319,,,,
3,Low,M,70,111.225,79.539,,,,
3,Low,M,71,105.94,73.019,,,,
3,Low,M,72,110.321,80.843,,,,
3,Low,M,73,109.346,76.657,,,,
3,Low,M,74,107.012,81.126,,,,
3,Low,M,75,113.073,81.134,,,,
3,Low,M,76,110.811,80.177,,,,
3,Low,M,77,108.462,76.823,,,,
3,Low,M,78,112.249,81.5,,,,
3,Low,M,79,112.386,77.497,,,,
3,Low,M,80,106.446,77.414,,,,
3,Low,M,81,107.852,77.152,,,,
3,Low,M,82,114.689,79.228,,,,
3,Low,M,83,109.109,79.223,,,,
3,Low,M,84,113.577,78.709,,,,
3,Low,M,85,103.892,82.708,,,,
3,Low,M,86,115.29,75.39,,,,
3,Low,M,87,108.462,80.566,,,,
3,Low,M,88,113.658,74.804,,,,
3,Low,M,89,109.253,83.206,,,,
3,Low,L,1,117.741,86.911,114.1947222,3.936048352,83.35065278,2.603388356
3,Low,L,2,116.39,87.278,,,,
3,Low,L,3,112.65,81.32,,,,
3,Low,L,4,107.66,85.183,,,,
3,Low,L,5,111.349,79.228,,,,
3,Low,L,6,113.02,79.114,,,,
3,Low,L,7,109.494,81.287,,,,
3,Low,L,8,114.663,82.789,,,,
3,Low,L,9,112.663,78.134,,,,
3,Low,L,10,107.521,80.058,,,,
3,Low,L,11,118.044,81.509,,,,
3,Low,L,12,116.57,85.152,,,,
3,Low,L,13,110.304,84.988,,,,
3,Low,L,14,115.238,83.359,,,,
3,Low,L,15,117.341,87.252,,,,
3,Low,L,16,121.367,86.686,,,,
3,Low,L,17,109.854,83.8,,,,
3,Low,L,18,113.963,87.669,,,,
3,Low,L,19,118.273,85.231,,,,
3,Low,L,20,110.209,79.766,,,,
3,Low,L,21,110.39,80.875,,,,
3,Low,L,22,114.742,84.224,,,,
3,Low,L,23,113.156,82.257,,,,
3,Low,L,24,114.948,83.907,,,,
3,Low,L,25,111.823,82.023,,,,
3,Low,L,26,114.752,83.02,,,,
3,Low,L,27,113.219,83.943,,,,
3,Low,L,28,116.167,84.153,,,,
3,Low,L,29,114.305,84.723,,,,
3,Low,L,30,116.157,87.566,,,,
3,Low,L,31,109.758,81.541,,,,
3,Low,L,32,112.155,81.523,,,,
3,Low,L,33,117.869,84.189,,,,
3,Low,L,34,115.807,88.024,,,,
3,Low,L,35,114.424,79.922,,,,
3,Low,L,36,115.209,83.705,,,,
3,Low,L,37,121.568,86.517,,,,
3,Low,L,38,120.535,86.911,,,,
3,Low,L,39,119.615,81.467,,,,
3,Low,L,40,114.778,83.665,,,,
3,Low,L,41,119.137,82.142,,,,
3,Low,L,42,108.321,83.368,,,,
3,Low,L,43,110.984,78.924,,,,
3,Low,L,44,106.679,81.799,,,,
3,Low,L,45,116.619,80.311,,,,
3,Low,L,46,122.234,84.727,,,,
3,Low,L,47,114.45,87.084,,,,
3,Low,L,48,119.219,82.216,,,,
3,Low,L,49,111.092,82.966,,,,
3,Low,L,50,103.859,80.109,,,,
3,Low,L,51,113.577,84.153,,,,
3,Low,L,52,121.457,87.416,,,,
3,Low,L,53,116.699,84.296,,,,
3,Low,L,54,114.752,82.803,,,,
3,Low,L,55,117.891,84.086,,,,
3,Low,L,56,109.977,79.493,,,,
3,Low,L,57,110.26,80.577,,,,
3,Low,L,58,112.289,78.843,,,,
3,Low,L,59,113.583,82.38,,,,
3,Low,L,60,111.024,84.665,,,,
3,Low,L,61,111.268,79.09,,,,
3,Low,L,62,116.312,84.953,,,,
3,Low,L,63,112.807,83.992,,,,
3,Low,L,64,115.94,84.122,,,,
3,Low,L,65,113.96,86.699,,,,
3,Low,L,66,116.554,84.349,,,,
3,Low,L,67,118.069,85.376,,,,
3,Low,L,68,120.488,87.566,,,,
3,Low,L,69,114.62,84.095,,,,
3,Low,L,70,115.003,83.979,,,,
3,Low,L,71,106.086,79.356,,,,
3,Low,L,72,111.119,84.443,,,,
3,Low,XL,1,105.809,84.953,115.7265741,4.157205456,86.02922222,3.642341876
3,Low,XL,2,118.336,85.218,,,,
3,Low,XL,3,114.506,77.458,,,,
3,Low,XL,4,112.303,80.217,,,,
3,Low,XL,5,110.281,83.359,,,,
3,Low,XL,6,117.101,86.356,,,,
3,Low,XL,7,107.405,84.153,,,,
3,Low,XL,8,119.137,87.377,,,,
3,Low,XL,9,111.075,85.885,,,,
3,Low,XL,10,119.734,89.489,,,,
3,Low,XL,11,119.01,83.979,,,,
3,Low,XL,12,112.035,82.512,,,,
3,Low,XL,13,110.835,84.736,,,,
3,Low,XL,14,117.913,81.5,,,,
3,Low,XL,15,111.605,79.54,,,,
3,Low,XL,16,118.428,93.54,,,,
3,Low,XL,17,116.793,87.416,,,,
3,Low,XL,18,111.038,82.717,,,,
3,Low,XL,19,118.783,90.187,,,,
3,Low,XL,20,117.61,85.855,,,,
3,Low,XL,21,117.597,86.621,,,,
3,Low,XL,22,115.739,86.929,,,,
3,Low,XL,23,118.374,85.152,,,,
3,Low,XL,24,120.235,83.395,,,,
3,Low,XL,25,118.002,84.082,,,,
3,Low,XL,26,117.585,89.245,,,,
3,Low,XL,27,122.529,89.556,,,,
3,Low,XL,28,109.922,80.353,,,,
3,Low,XL,29,114.506,87.114,,,,
3,Low,XL,30,113.712,81.854,,,,
3,Low,XL,31,120.501,93.041,,,,
3,Low,XL,32,118.767,86.682,,,,
3,Low,XL,33,115.29,84.122,,,,
3,Low,XL,34,118.098,84.082,,,,
3,Low,XL,35,114.012,85.306,,,,
3,Low,XL,36,121.219,92.409,,,,
3,Low,XL,37,121.011,85.302,,,,
3,Low,XL,38,110.468,84.807,,,,
3,Low,XL,39,117.945,89.497,,,,
3,Low,XL,40,113.156,82.11,,,,
3,Low,XL,41,112.356,86.282,,,,
3,Low,XL,42,111.311,87.244,,,,
3,Low,XL,43,115.768,88.755,,,,
3,Low,XL,44,124.825,93.633,,,,
3,Low,XL,45,112.098,86.095,,,,
3,Low,XL,46,113.663,85.046,,,,
3,Low,XL,47,114.581,87.114,,,,
3,Low,XL,48,115.687,85.306,,,,
3,Low,XL,49,119.926,89.388,,,,
3,Low,XL,50,115.479,86.829,,,,
3,Low,XL,51,116.558,84.727,,,,
3,Low,XL,52,117.709,86.169,,,,
3,Low,XL,53,114.506,86.374,,,,
3,Low,XL,54,113.567,87.896,,,,
3,Low,XL,55,115.989,87.759,,,,
3,Low,XL,56,115.924,83.233,,,,
3,Low,XL,57,114.065,87.755,,,,
3,Low,XL,58,120.762,82.857,,,,
3,Low,XL,59,120.862,90.851,,,,
3,Low,XL,60,100.641,75.269,,,,
3,Low,XL,61,113.02,87.909,,,,
3,Low,XL,62,116.27,87.463,,,,
3,Low,XL,63,118.098,85.147,,,,
3,Low,XL,64,118.691,89.421,,,,
3,Low,XL,65,117.072,90.216,,,,
3,Low,XL,66,113.265,88.075,,,,
3,Low,XL,67,113.484,82.73,,,,
3,Low,XL,68,117.188,87.244,,,,
3,Low,XL,69,118.479,89.097,,,,
3,Low,XL,70,110.634,86.959,,,,
3,Low,XL,71,117.741,87.175,,,,
3,Low,XL,72,106.904,81.361,,,,
3,Low,XL,73,120.142,85.99,,,,
3,Low,XL,74,121.383,84.988,,,,
3,Low,XL,75,114.121,82.184,,,,
3,Low,XL,76,112.807,82.037,,,,
3,Low,XL,77,115.457,81.61,,,,
3,Low,XL,78,107.307,71.269,,,,
3,Low,XL,79,112.169,80.74,,,,
3,Low,XL,80,114.788,91.099,,,,
3,Low,XL,81,117.341,85.99,,,,
3,Low,XL,82,124.031,90.154,,,,
3,Low,XL,83,118.298,85.253,,,,
3,Low,XL,84,113.381,93.877,,,,
3,Low,XL,85,113.235,88.011,,,,
3,Low,XL,86,112.075,88.755,,,,
3,Low,XL,87,108.113,84.541,,,,
3,Low,XL,88,110.851,89.131,,,,
3,Low,XL,89,112.58,88.95,,,,
3,Low,XL,90,119.813,88.267,,,,
3,Low,XL,91,123.628,85.85,,,,
3,Low,XL,92,120.641,85.57,,,,
3,Low,XL,93,124.149,92.324,,,,
3,Low,XL,94,115.496,85.925,,,,
3,Low,XL,95,116.506,84.527,,,,
3,Low,XL,96,118.53,85.855,,,,
3,Low,XL,97,117.101,82.717,,,,
3,Low,XL,98,117.61,89.497,,,,
3,Low,XL,99,116.506,88.59,,,,
3,Low,XL,100,115.496,84.242,,,,
3,Low,XL,101,121.828,86.842,,,,
3,Low,XL,102,116.87,88.271,,,,
3,Low,XL,103,112.303,84.988,,,,
3,Low,XL,104,111.924,86.877,,,,
3,Low,XL,105,118.235,81.909,,,,
3,Low,XL,106,114.801,86.073,,,,
3,Low,XL,107,118.155,91.49,,,,
3,Low,XL,108,115.271,87.278,,,,
5,High,M,1,114.243,82.142,113.3499709,3.257997615,80.15781553,2.747712113
5,High,M,2,110.39,76.004,,,,
5,High,M,3,113.318,82.462,,,,
5,High,M,4,111.699,78.038,,,,
5,High,M,5,111.884,78.857,,,,
5,High,M,6,118.428,81.799,,,,
5,High,M,7,112.075,81.509,,,,
5,High,M,8,113.02,79.54,,,,
5,High,M,9,110.39,80.109,,,,
5,High,M,10,113.275,79.356,,,,
5,High,M,11,115.895,80.016,,,,
5,High,M,12,116.854,78.885,,,,
5,High,M,13,116.458,84.727,,,,
5,High,M,14,110.956,80.316,,,,
5,High,M,15,114.768,79.54,,,,
5,High,M,16,111.305,79.752,,,,
5,High,M,17,114.663,82.717,,,,
5,High,M,18,112.956,76.3,,,,
5,High,M,19,111.823,83.233,,,,
5,High,M,20,113.577,81.799,,,,
5,High,M,21,106.633,74.547,,,,
5,High,M,22,115.16,79.54,,,,
5,High,M,23,112.273,78.422,,,,
5,High,M,24,114.506,81.95,,,,
5,High,M,25,113.643,80.484,,,,
5,High,M,26,113.606,83.328,,,,
5,High,M,27,116.018,82.257,,,,
5,High,M,28,119.171,82.898,,,,
5,High,M,29,107.657,78.9,,,,
5,High,M,30,114.289,78.422,,,,
5,High,M,31,115.895,81.615,,,,
